Group_Type,Group_Name,Metric,Mean,Std,CV,Min,Max,Sample_Size
AI_System,GPT 3.5 Turbo,ROUGE-1-F,0.3484219011479861,0.06778168213908765,0.19453909732929955,0.1962264150943396,0.5111111111111112,40
AI_System,GPT 3.5 Turbo,ROUGE-1-P,0.3007136535170474,0.08626457698543159,0.28686617975775175,0.14130434782608695,0.5257142857142857,40
AI_System,GPT 3.5 Turbo,ROUGE-1-R,0.4301295246497426,0.04959733770669111,0.11530791276669175,0.31891891891891894,0.5306122448979592,40
AI_System,GPT 3.5 Turbo,ROUGE-2-F,0.09691542623802878,0.03995356558599738,0.4122518688394309,0.03717472118959108,0.19553072625698326,40
AI_System,GPT 3.5 Turbo,ROUGE-2-P,0.08464406789877024,0.04148235181606916,0.490079846654816,0.026455026455026454,0.20114942528735633,40
AI_System,GPT 3.5 Turbo,ROUGE-2-R,0.11764633117758494,0.03951139057867543,0.3358488971409888,0.0625,0.20618556701030927,40
AI_System,GPT 3.5 Turbo,ROUGE-L-F,0.22685818862786808,0.04596118770118394,0.202598759952974,0.12546125461254612,0.32222222222222224,40
AI_System,GPT 3.5 Turbo,ROUGE-L-P,0.19565293453677357,0.05609754875015393,0.2867196900622527,0.08947368421052632,0.3314285714285714,40
AI_System,GPT 3.5 Turbo,ROUGE-L-R,0.2802871827354932,0.04056181330310002,0.1447151914234272,0.2,0.3763440860215054,40
AI_System,GPT 3.5 Turbo,BERT-Score-P,0.08180414953676518,0.07001570756925887,0.855894327680673,-0.06319867819547653,0.21665358543395996,40
AI_System,GPT 3.5 Turbo,BERT-Score-R,0.1285764267668128,0.03865950718011478,0.30067336721238924,0.04863462224602699,0.19670116901397705,40
AI_System,GPT 3.5 Turbo,BERT-Score-F1,0.10630213065014686,0.04466772953223703,0.4201959947467461,-0.0010340582812204957,0.1921960413455963,40
AI_System,Gemini 1.5 pro,ROUGE-1-F,0.35741319739831995,0.056229088476686485,0.15732236214551934,0.21818181818181817,0.4508196721311476,40
AI_System,Gemini 1.5 pro,ROUGE-1-P,0.30299318061556696,0.07562049611300994,0.24957821149432421,0.14457831325301204,0.45652173913043476,40
AI_System,Gemini 1.5 pro,ROUGE-1-R,0.45932522618697524,0.05923550098220381,0.1289620025312764,0.3027027027027027,0.5816326530612245,40
AI_System,Gemini 1.5 pro,ROUGE-2-F,0.10483008422574022,0.03686688572936121,0.3516823057202966,0.036585365853658534,0.1652892561983471,40
AI_System,Gemini 1.5 pro,ROUGE-2-P,0.09016953736523452,0.038852178265487626,0.4308792015657757,0.024193548387096774,0.16176470588235295,40
AI_System,Gemini 1.5 pro,ROUGE-2-R,0.13185903155939604,0.03802425578097599,0.2883705069822838,0.0625,0.21649484536082475,40
AI_System,Gemini 1.5 pro,ROUGE-L-F,0.2257300938180869,0.03752019942154421,0.1662170904504265,0.13333333333333336,0.2845849802371542,40
AI_System,Gemini 1.5 pro,ROUGE-L-P,0.19164330430798288,0.04991917722782108,0.2604796311985824,0.08835341365461848,0.291970802919708,40
AI_System,Gemini 1.5 pro,ROUGE-L-R,0.2896748874025341,0.040514209793414996,0.1398609667434381,0.21081081081081082,0.3979591836734694,40
AI_System,Gemini 1.5 pro,BERT-Score-P,0.04425431998097338,0.0652395429327174,1.474196032404664,-0.04618547111749649,0.16000668704509735,40
AI_System,Gemini 1.5 pro,BERT-Score-R,0.13702347166836262,0.03834914752510797,0.27987283534841584,0.07191286981105804,0.22465741634368896,40
AI_System,Gemini 1.5 pro,BERT-Score-F1,0.09146816255524755,0.04170347608757447,0.4559343373972908,0.017909197136759758,0.15948617458343506,40
ASR_Tool,Whisper,ROUGE-1-F,0.348951954653149,0.061521496346748736,0.17630363013125927,0.21818181818181817,0.44041450777202074,20
ASR_Tool,Whisper,ROUGE-1-P,0.29268196613655056,0.08187618990183892,0.27974456705555834,0.14457831325301204,0.45652173913043476,20
ASR_Tool,Whisper,ROUGE-1-R,0.4547689175096001,0.05464955776488732,0.12016994930998924,0.34054054054054056,0.5816326530612245,20
ASR_Tool,Whisper,ROUGE-2-F,0.09920869531458112,0.03751778867684743,0.37817036659823183,0.036585365853658534,0.15384615384615385,20
ASR_Tool,Whisper,ROUGE-2-P,0.08449215030175408,0.039929907049856495,0.472587180078284,0.024193548387096774,0.16058394160583941,20
ASR_Tool,Whisper,ROUGE-2-R,0.12645238663460062,0.037445491297624575,0.2961232468140584,0.07407407407407407,0.21649484536082475,20
ASR_Tool,Whisper,ROUGE-L-F,0.2243677842024585,0.041161738462193925,0.18345654483556154,0.13333333333333336,0.28363636363636363,20
ASR_Tool,Whisper,ROUGE-L-P,0.18782550741145704,0.05118946824621873,0.2725373616804948,0.08835341365461848,0.2826086956521739,20
ASR_Tool,Whisper,ROUGE-L-R,0.29296198725520417,0.04455410363909515,0.15208151766216452,0.21081081081081082,0.3979591836734694,20
ASR_Tool,Whisper,BERT-Score-P,0.05875491633778438,0.07819061556220487,1.3307927308190497,-0.04618547111749649,0.21665358543395996,20
ASR_Tool,Whisper,BERT-Score-R,0.13028642795979978,0.035196853724897254,0.2701498097388727,0.08140895515680313,0.19610868394374847,20
ASR_Tool,Whisper,BERT-Score-F1,0.09549388214945793,0.04900043049748117,0.5131263845865054,0.022852757945656776,0.17780645191669464,20
ASR_Tool,Speechmatics,ROUGE-1-F,0.3556021465575404,0.05896267313211079,0.16581079080345193,0.22695035460992907,0.4326530612244899,20
